[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1643361093.2156193
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\types.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\http\server.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\crispy_forms\templatetags\__init__.py first seen with mtime 1643361982.9240465
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1643361093.0366201
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\__init__.py first seen with mtime 1643361089.3756325
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\template\autoreload.py first seen with mtime 1643361093.3646204
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\_weakrefset.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\fnmatch.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\calendar.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1643361090.42862
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\apps\config.py first seen with mtime 1643361089.3796334
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1643361093.2396195
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1643361093.256625
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\numbers.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\http\__init__.py first seen with mtime 1643361093.349621
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\db\models\manager.py first seen with mtime 1643361093.2256167
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\contrib\auth\urls.py first seen with mtime 1643361090.7026196
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\chardet\universaldetector.py first seen with mtime 1643452068.4204412
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1643361093.4656243
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1643361093.1506195
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\views\__init__.py first seen with mtime 1643361093.4506226
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1643361093.035621
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1643445999.4358706
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\template\smartif.py first seen with mtime 1643361093.375618
